,O1,O2,rel
0,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9311,http://purl.obolibrary.org/obo/DOID_120,1.0
1,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8410,http://purl.obolibrary.org/obo/DOID_1612,1.0
2,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99383,http://purl.obolibrary.org/obo/DOID_417,1.0
3,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35775,http://purl.obolibrary.org/obo/DOID_240,1.0
4,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3802,http://purl.obolibrary.org/obo/DOID_1909,1.0
5,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37977,http://purl.obolibrary.org/obo/DOID_2485,1.0
6,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4236,http://purl.obolibrary.org/obo/DOID_1909,1.0
7,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34536,http://purl.obolibrary.org/obo/DOID_8913,1.0
8,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4766,http://purl.obolibrary.org/obo/DOID_3478,1.0
9,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27037,http://purl.obolibrary.org/obo/DOID_2723,1.0
10,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8776,http://purl.obolibrary.org/obo/DOID_3368,1.0
11,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27471,http://purl.obolibrary.org/obo/DOID_4232,1.0
12,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3356,http://purl.obolibrary.org/obo/DOID_3405,1.0
13,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6247,http://purl.obolibrary.org/obo/DOID_3259,1.0
14,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4102,http://purl.obolibrary.org/obo/DOID_1749,1.0
15,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27538,http://purl.obolibrary.org/obo/DOID_2513,1.0
16,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27539,http://purl.obolibrary.org/obo/DOID_2513,1.0
17,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4108,http://purl.obolibrary.org/obo/DOID_2513,1.0
18,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6381,http://purl.obolibrary.org/obo/DOID_1294,1.0
19,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27536,http://purl.obolibrary.org/obo/DOID_2513,1.0
20,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27535,http://purl.obolibrary.org/obo/DOID_8858,1.0
21,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27182,http://purl.obolibrary.org/obo/DOID_2513,1.0
22,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27541,http://purl.obolibrary.org/obo/DOID_2513,1.0
23,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84743,http://purl.obolibrary.org/obo/DOID_229,1.0
24,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7585,http://purl.obolibrary.org/obo/DOID_2513,1.0
25,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4109,http://purl.obolibrary.org/obo/DOID_2513,1.0
26,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27517,http://purl.obolibrary.org/obo/DOID_174,1.0
27,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7297,http://purl.obolibrary.org/obo/DOID_710,1.0
28,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34934,http://purl.obolibrary.org/obo/DOID_4308,1.0
29,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27518,http://purl.obolibrary.org/obo/DOID_174,1.0
30,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27516,http://purl.obolibrary.org/obo/DOID_174,1.0
31,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27537,http://purl.obolibrary.org/obo/DOID_2513,1.0
32,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38111,http://purl.obolibrary.org/obo/DOID_2513,1.0
33,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38110,http://purl.obolibrary.org/obo/DOID_2513,1.0
34,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123438,http://purl.obolibrary.org/obo/DOID_0050557,1.0
35,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4223,http://purl.obolibrary.org/obo/DOID_5238,1.0
36,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125598,http://purl.obolibrary.org/obo/DOID_1934,1.0
37,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150251,http://purl.obolibrary.org/obo/DOID_1686,1.0
38,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85180,http://purl.obolibrary.org/obo/DOID_883,1.0
39,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5268,http://purl.obolibrary.org/obo/DOID_3842,1.0
40,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5286,http://purl.obolibrary.org/obo/DOID_3565,1.0
