,O1,O2,rel
0,http://omim.org/entry/609560,http://www.orpha.net/ORDO/Orphanet_377788,1.0
1,http://omim.org/entry/617171,http://www.orpha.net/ORDO/Orphanet_377788,1.0
2,http://omim.org/entry/617173,http://www.orpha.net/ORDO/Orphanet_377788,1.0
3,http://omim.org/entry/617140,http://www.orpha.net/ORDO/Orphanet_377789,1.0
4,http://omim.org/entry/617157,http://www.orpha.net/ORDO/Orphanet_377789,1.0
5,http://omim.org/entry/609796,http://www.orpha.net/ORDO/Orphanet_377788,1.0
6,http://omim.org/entry/609757,http://www.orpha.net/ORDO/Orphanet_377789,1.0
7,http://omim.org/entry/609727,http://www.orpha.net/ORDO/Orphanet_377788,1.0
8,http://omim.org/entry/609698,http://www.orpha.net/ORDO/Orphanet_377788,1.0
9,http://omim.org/entry/609734,http://www.orpha.net/ORDO/Orphanet_179490,1.0
10,http://omim.org/entry/609655,http://www.orpha.net/ORDO/Orphanet_377789,1.0
11,http://omim.org/entry/609638,http://www.orpha.net/ORDO/Orphanet_377788,1.0
12,http://omim.org/entry/609640,http://www.orpha.net/ORDO/Orphanet_377789,1.0
13,http://omim.org/entry/609583,http://www.orpha.net/ORDO/Orphanet_377789,1.0
14,http://omim.org/entry/617213,http://www.orpha.net/ORDO/Orphanet_377788,1.0
15,http://omim.org/entry/609579,http://www.orpha.net/ORDO/Orphanet_377789,1.0
16,http://omim.org/entry/609625,http://www.orpha.net/ORDO/Orphanet_377789,1.0
17,http://omim.org/entry/609628,http://www.orpha.net/ORDO/Orphanet_377788,1.0
18,http://omim.org/entry/617232,http://www.orpha.net/ORDO/Orphanet_377788,1.0
19,http://omim.org/entry/617228,http://www.orpha.net/ORDO/Orphanet_377788,1.0
20,http://omim.org/entry/617225,http://www.orpha.net/ORDO/Orphanet_377788,1.0
21,http://omim.org/entry/617107,http://www.orpha.net/ORDO/Orphanet_377789,1.0
22,http://omim.org/entry/617111,http://www.orpha.net/ORDO/Orphanet_377788,1.0
23,http://omim.org/entry/617086,http://www.orpha.net/ORDO/Orphanet_377795,1.0
24,http://omim.org/entry/617099,http://www.orpha.net/ORDO/Orphanet_377788,1.0
25,http://omim.org/entry/617093,http://www.orpha.net/ORDO/Orphanet_377788,1.0
26,http://omim.org/entry/617072,http://www.orpha.net/ORDO/Orphanet_377788,1.0
27,http://omim.org/entry/609993,http://www.orpha.net/ORDO/Orphanet_377788,1.0
28,http://omim.org/entry/609968,http://www.orpha.net/ORDO/Orphanet_377788,1.0
29,http://omim.org/entry/609975,http://www.orpha.net/ORDO/Orphanet_377788,1.0
30,http://omim.org/entry/609981,http://www.orpha.net/ORDO/Orphanet_377788,1.0
