,O1,O2,rel
0,http://snomed.info/id/80622005,http://purl.org/sig/ont/fma/fma5865,1.0
1,http://snomed.info/id/15119000,http://purl.org/sig/ont/fma/fma61284,1.0
2,http://snomed.info/id/15119000,http://purl.org/sig/ont/fma/fma63819,1.0
3,http://snomed.info/id/37783008,http://purl.org/sig/ont/fma/fma16588,1.0
4,http://snomed.info/id/61352006,http://purl.org/sig/ont/fma/fma25624,1.0
5,http://snomed.info/id/8598002,http://purl.org/sig/ont/fma/fma5865,1.0
6,http://snomed.info/id/31934006,http://purl.org/sig/ont/fma/fma13451,1.0
7,http://snomed.info/id/55940004,http://purl.org/sig/ont/fma/fma9609,1.0
8,http://snomed.info/id/23043003,http://purl.org/sig/ont/fma/fma64989,1.0
9,http://snomed.info/id/68594002,http://purl.org/sig/ont/fma/fma61109,1.0
10,http://snomed.info/id/23451007,http://purl.org/sig/ont/fma/fma70779,1.0
11,http://snomed.info/id/23451007,http://purl.org/sig/ont/fma/fma55663,1.0
12,http://snomed.info/id/38254008,http://purl.org/sig/ont/fma/fma61108,1.0
13,http://snomed.info/id/4958002,http://purl.org/sig/ont/fma/fma62514,1.0
14,http://snomed.info/id/31636006,http://purl.org/sig/ont/fma/fma58071,1.0
15,http://snomed.info/id/32259006,http://purl.org/sig/ont/fma/fma86144,1.0
16,http://snomed.info/id/53505006,http://purl.org/sig/ont/fma/fma3724,1.0
17,http://snomed.info/id/15825003,http://purl.org/sig/ont/fma/fma49918,1.0
18,http://snomed.info/id/261051005,http://purl.org/sig/ont/fma/fma49918,1.0
19,http://snomed.info/id/7832008,http://purl.org/sig/ont/fma/fma13087,1.0
20,http://snomed.info/id/57034009,http://purl.org/sig/ont/fma/fma68045,1.0
21,http://snomed.info/id/34202007,http://purl.org/sig/ont/fma/fma7110,1.0
22,http://snomed.info/id/66754008,http://purl.org/sig/ont/fma/fma55672,1.0
23,http://snomed.info/id/75042008,http://purl.org/sig/ont/fma/fma266091,1.0
24,http://snomed.info/id/41149000,http://purl.org/sig/ont/fma/fma83840,1.0
25,http://snomed.info/id/41149000,http://purl.org/sig/ont/fma/fma258762,1.0
26,http://snomed.info/id/371195002,http://purl.org/sig/ont/fma/fma23880,1.0
27,http://snomed.info/id/51114001,http://purl.org/sig/ont/fma/fma78562,1.0
28,http://snomed.info/id/51114001,http://purl.org/sig/ont/fma/fma86187,1.0
29,http://snomed.info/id/28225005,http://purl.org/sig/ont/fma/fma86187,1.0
30,http://snomed.info/id/77578007,http://purl.org/sig/ont/fma/fma55108,1.0
31,http://snomed.info/id/54247002,http://purl.org/sig/ont/fma/fma68045,1.0
32,http://snomed.info/id/14806007,http://purl.org/sig/ont/fma/fma9915,1.0
33,http://snomed.info/id/181818007,http://purl.org/sig/ont/fma/fma9915,1.0
34,http://snomed.info/id/25943004,http://purl.org/sig/ont/fma/fma321959,1.0
35,http://snomed.info/id/35112002,http://purl.org/sig/ont/fma/fma323931,1.0
36,http://snomed.info/id/279255008,http://purl.org/sig/ont/fma/fma323931,1.0
37,http://snomed.info/id/67937003,http://purl.org/sig/ont/fma/fma82594,1.0
38,http://snomed.info/id/68705008,http://purl.org/sig/ont/fma/fma77884,1.0
39,http://snomed.info/id/39976000,http://purl.org/sig/ont/fma/fma9915,1.0
40,http://snomed.info/id/72107004,http://purl.org/sig/ont/fma/fma78048,1.0
41,http://snomed.info/id/87176006,http://purl.org/sig/ont/fma/fma20020,1.0
42,http://snomed.info/id/32610002,http://purl.org/sig/ont/fma/fma83840,1.0
43,http://snomed.info/id/32610002,http://purl.org/sig/ont/fma/fma256381,1.0
44,http://snomed.info/id/29023000,http://purl.org/sig/ont/fma/fma83840,1.0
45,http://snomed.info/id/10992007,http://purl.org/sig/ont/fma/fma50989,1.0
46,http://snomed.info/id/59011009,http://purl.org/sig/ont/fma/fma70345,1.0
47,http://snomed.info/id/33898000,http://purl.org/sig/ont/fma/fma52857,1.0
48,http://snomed.info/id/50862003,http://purl.org/sig/ont/fma/fma63871,1.0
49,http://snomed.info/id/87746007,http://purl.org/sig/ont/fma/fma17555,1.0
50,http://snomed.info/id/28273000,http://purl.org/sig/ont/fma/fma30320,1.0
51,http://snomed.info/id/34707002,http://purl.org/sig/ont/fma/fma45619,1.0
52,http://snomed.info/id/34707002,http://purl.org/sig/ont/fma/fma55677,1.0
53,http://snomed.info/id/89837001,http://purl.org/sig/ont/fma/fma55672,1.0
54,http://snomed.info/id/59820001,http://purl.org/sig/ont/fma/fma312599,1.0
55,http://snomed.info/id/17137000,http://purl.org/sig/ont/fma/fma82594,1.0
56,http://snomed.info/id/36582005,http://purl.org/sig/ont/fma/fma5905,1.0
57,http://snomed.info/id/12691009,http://purl.org/sig/ont/fma/fma66464,1.0
58,http://snomed.info/id/8887007,http://purl.org/sig/ont/fma/fma78048,1.0
59,http://snomed.info/id/12738006,http://purl.org/sig/ont/fma/fma256237,1.0
60,http://snomed.info/id/15926001,http://purl.org/sig/ont/fma/fma55676,1.0
61,http://snomed.info/id/76752008,http://purl.org/sig/ont/fma/fma61478,1.0
62,http://snomed.info/id/34411009,http://purl.org/sig/ont/fma/fma7144,1.0
63,http://snomed.info/id/82880006,http://purl.org/sig/ont/fma/fma242193,1.0
64,http://snomed.info/id/955009,http://purl.org/sig/ont/fma/fma78562,1.0
65,http://snomed.info/id/955009,http://purl.org/sig/ont/fma/fma12224,1.0
66,http://snomed.info/id/64468002,http://purl.org/sig/ont/fma/fma66464,1.0
67,http://snomed.info/id/33594008,http://purl.org/sig/ont/fma/fma12224,1.0
68,http://snomed.info/id/33594008,http://purl.org/sig/ont/fma/fma78565,1.0
69,http://snomed.info/id/367597008,http://purl.org/sig/ont/fma/fma12224,1.0
70,http://snomed.info/id/367597008,http://purl.org/sig/ont/fma/fma78565,1.0
71,http://snomed.info/id/55214000,http://purl.org/sig/ont/fma/fma12224,1.0
72,http://snomed.info/id/55214000,http://purl.org/sig/ont/fma/fma78565,1.0
73,http://snomed.info/id/66997005,http://purl.org/sig/ont/fma/fma55662,1.0
74,http://snomed.info/id/345000,http://purl.org/sig/ont/fma/fma6266,1.0
75,http://snomed.info/id/8225009,http://purl.org/sig/ont/fma/fma6266,1.0
76,http://snomed.info/id/13351007,http://purl.org/sig/ont/fma/fma70779,1.0
77,http://snomed.info/id/13351007,http://purl.org/sig/ont/fma/fma66760,1.0
78,http://snomed.info/id/80144004,http://purl.org/sig/ont/fma/fma24491,1.0
79,http://snomed.info/id/80144004,http://purl.org/sig/ont/fma/fma231887,1.0
80,http://snomed.info/id/69105007,http://purl.org/sig/ont/fma/fma29733,1.0
81,http://snomed.info/id/22286001,http://purl.org/sig/ont/fma/fma70504,1.0
82,http://snomed.info/id/86117002,http://purl.org/sig/ont/fma/fma70504,1.0
83,http://snomed.info/id/51345006,http://purl.org/sig/ont/fma/fma55664,1.0
84,http://snomed.info/id/21479005,http://purl.org/sig/ont/fma/fma70507,1.0
85,http://snomed.info/id/83936004,http://purl.org/sig/ont/fma/fma24162,1.0
86,http://snomed.info/id/83936004,http://purl.org/sig/ont/fma/fma7475,1.0
87,http://snomed.info/id/7173007,http://purl.org/sig/ont/fma/fma14462,1.0
88,http://snomed.info/id/11000004,http://purl.org/sig/ont/fma/fma83840,1.0
89,http://snomed.info/id/32713005,http://purl.org/sig/ont/fma/fma14540,1.0
