,O1,O2,rel
0,http://snomed.info/id/386922000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2082,1.0
1,http://snomed.info/id/108821000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2082,1.0
2,http://snomed.info/id/373489001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26017,1.0
3,http://snomed.info/id/80994002,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93038,1.0
4,http://snomed.info/id/413355004,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93038,1.0
5,http://snomed.info/id/386029006,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C687,1.0
6,http://snomed.info/id/259470008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C687,1.0
7,http://snomed.info/id/395904008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80483,1.0
8,http://snomed.info/id/360246003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78311,1.0
9,http://snomed.info/id/59882007,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78311,1.0
10,http://snomed.info/id/372815001,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29576,1.0
11,http://snomed.info/id/68088000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29576,1.0
12,http://snomed.info/id/79356008,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C263,1.0
13,http://snomed.info/id/387457003,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C263,1.0
14,http://snomed.info/id/96218000,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66883,1.0
15,http://snomed.info/id/412076009,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66883,1.0
